,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (count),Apple Stand Time (min),Blood Oxygen Saturation (%),Environmental Audio Exposure (dBASPL),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Physical Effort (kcal/hr·kg),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (count/min),Six-Minute Walking Test Distance (m),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Stair Speed: Down (ft/s),Stair Speed: Up (ft/s),Step Count (count),Time in Daylight (min),VO2 Max (ml/(kg·min)),Walking + Running Distance (mi),Walking Asymmetry Percentage (%),Walking Double Support Percentage (%),Walking Heart Rate Average (count/min),Walking Speed (mi/hr),Walking Step Length (in),upload_byte_count,screen_on,temperature,feels_like,humidity,rain,wind_speed
Step Count (count),0.6338990660579894,-0.0033693003684402965,0.010287054151876512,0.5742734536507393,0.003953026054652264,-0.0006714759746089472,0.015632051813979274,0.0027830795247993025,0.2891207120562001,0.30879342502186,0.3079504328740936,0.0007746875101800913,0.20809517576079276,0.0005970721620000155,0.19611093080940753,-0.004524313496397324,-0.004786161373087056,0.01218587619034066,-0.0020245236199958275,0.008180405816910664,0.0013614238931272755,0.00047036620681348057,0.005999837190883428,0.0008845174356166801,-0.0026525413958840833,-0.00014425161052246686,1.0,0.038369206925861876,-0.00295399268958037,0.9020771249912619,-0.00017057545583618202,-0.028440094553542676,0.002563189080807253,0.10853452021301417,0.09561908830622279,-0.012621022965389464,-0.014234659274314384,0.07553617140710897,0.062304895608694226,-0.04580507404411962,-0.0058999635675681,0.0463624458854497
Time in Daylight (min),0.03463387920565906,-0.008668269332839318,-0.0006408733604802959,0.044536872001410245,0.0030397438972170746,-0.007284979930674491,0.0061235206298634005,-0.009618053358188092,-0.0068159335461946075,-0.005353460318755248,-0.0057657216332319145,0.006908326900983355,0.02197045369982792,0.0023831163741827926,0.00791375343028997,0.008453917999247952,-0.001645627675243696,0.004575853884408884,2.7411843043975008e-05,-0.006037041298032604,-0.0018093242787536716,0.003445838281472873,0.0009335979374426245,0.00024477958644296215,-0.0013274458621975016,0.0031376858333376826,0.038369206925861876,1.0,-0.0007914236750202952,0.04209489315025111,-0.001084246210812076,-0.023596560732112044,0.0004678745515294213,0.017626899414060607,0.017935143133702217,0.0008432845748281477,-0.0007163275370449059,-8.718615580965111e-05,0.0005626450490710012,-0.0007463725899503789,-0.0017312204404062032,-0.003202677006490908
VO2 Max (ml/(kg·min)),-0.00416951199992623,-0.002245582356038866,-0.006642410006008864,-0.004812067374795774,0.0023989781858780638,-0.0022341953456833006,-0.0027712710979456235,0.006652631062823717,-0.0012752618209185835,-0.0011845843205478667,-0.0011319748886199662,0.0028484477226608284,-0.004680080088579247,0.0030787786129782588,0.002620307748237814,0.00900077576426159,-0.0039589772518437,0.0046157755206933946,0.001956595017315629,-0.004364260026737852,0.0010271115871242028,0.0009500466738753172,-0.0013458474942257687,0.006448367379614074,0.0031563058441716994,0.0003031657340397666,-0.00295399268958037,-0.0007914236750202952,1.0,-0.0028635036483037556,-0.0026234018975343385,-0.005196398297855694,-0.005101682030882807,0.004420313396028145,0.00337563064948485,0.0005888155748028557,-0.001989743247450605,-0.003142879761981836,-0.004736630141473608,-0.003667308765741265,0.005607197047907316,0.006176525989075268
Walking + Running Distance (mi),0.650538868827302,-0.009644786727053727,0.012630870498701492,0.551155988594294,0.004526740360473223,-0.0031822811515582667,0.004860721313767129,-0.00400849037918307,0.2781114060373053,0.2910139636163379,0.293125401360167,0.0015242919012483456,0.22677098165154372,-0.000525593101245426,0.19385142351326076,-0.0005491532407424123,-0.00578729999413975,0.01202346926642552,-0.006416516589642316,0.01021902644357918,0.004041709329890138,-0.0015946794091145965,0.0032186450473080806,0.0026352279593176166,-0.0027610158988087444,0.008119089763936221,0.9020771249912619,0.04209489315025111,-0.0028635036483037556,1.0,-0.00014579166644983335,-0.04067336208960829,0.0012505740182291792,0.1229636643851753,0.10313592785410693,-0.007849250298029527,-0.012431051171531834,0.07167922484519176,0.05942803785128426,-0.04034788894826825,-0.0027610892650573125,0.04535309491020432
Walking Asymmetry Percentage (%),-0.003694950146724293,-0.003576960743812824,-0.0028063867808190792,0.0026342962288531057,-0.004547822698474115,0.00019639152015165474,-0.004743661227877602,-0.008199934888450689,-0.005502889723424404,-0.0032830344521132607,-0.0036576248834517067,0.0028718337160130985,-0.011426512762426849,0.0030386773553824587,-0.0008244121249234173,-0.0017179927854004229,0.00690135468738382,0.003350194748013105,-0.003310603092933986,0.0014952276524777624,-0.004217812720234528,0.002493936166215276,9.199365351937758e-05,0.002174639750189474,0.004147651133730719,-0.0013716029891663525,-0.00017057545583618202,-0.001084246210812076,-0.0026234018975343385,-0.00014579166644983335,1.0,0.04116565356347696,-0.00533990468019413,-0.08967858558160352,-0.041874599309960674,-0.0051405454686397805,-9.179710246864163e-05,-0.0014879512383076333,0.00022773128383684832,0.0050409442119432,-0.004031062381523588,-0.0055532419561854125
Walking Double Support Percentage (%),-0.041028612925725905,0.0033534776030501564,0.02722552659765961,-0.027872819583795623,-0.002162753687570112,0.008654029581079808,0.013730955468649986,0.0017516041278188691,-0.03181131657378144,-0.031929544193623274,-0.03533251313998197,0.003966810068056158,-0.04273070181342187,-0.008746222950041791,0.019612262156497588,-0.0070720419396526355,0.005909838510346573,0.002811238633290284,0.0009711833233446255,0.004334711451212156,0.0029006361978099206,0.0005900893198736453,0.003812850448051216,-0.0044047857153153985,-0.0005560147047863395,-0.008628907510286454,-0.028440094553542676,-0.023596560732112044,-0.005196398297855694,-0.04067336208960829,0.04116565356347696,1.0,0.004673050021192309,-0.5596264790763336,-0.44972649249906615,-0.008532398910138333,-0.008405367659930814,0.02075466305756304,0.024467845645676247,0.007107581855395858,2.097381912305633e-05,-0.01688081534123712
Walking Heart Rate Average (count/min),0.0006668933981702499,-0.0026467306425089977,0.0013340330131259672,-0.0009399520437579403,0.0044589362584343635,-0.003492855229679262,-0.005965058745675046,-0.004829090111231379,0.0009836521460115807,-0.0022366585741994045,-0.0015276800399043461,-0.0018969767925871902,0.004601799650431869,0.0014575685300361341,0.0007813035482385013,0.036187861910610145,0.008759872600420267,0.022656112371374885,0.0036080636127969485,0.0034026011926206593,0.021431176212003886,-0.009966577183322237,-0.0019480620294223875,-0.001604694859025753,0.004641679728682693,0.0004134901484173546,0.002563189080807253,0.0004678745515294213,-0.005101682030882807,0.0012505740182291792,-0.00533990468019413,0.004673050021192309,1.0,0.0020671223929361235,0.006131771902637802,-0.0017582182490968666,0.0016272866719504323,0.0023021615919070534,0.00202661600423663,-7.069320265580152e-05,0.002557894871135438,0.00015485893053642893
Walking Speed (mi/hr),0.12676527416319386,0.008162041039881726,-0.014914967469217406,0.06806658290322473,0.004643083614940908,-0.00799927556608178,-0.028426323601077576,0.005131220266767185,0.06854833550350138,0.07059062217012674,0.0733713968599793,-0.0020009853249338557,0.10943522650812443,0.002718949815731198,0.05741417110792424,0.0033974217400103927,-0.0010915375658635089,0.00498022712892312,0.004053071414644873,-0.010937390524394972,0.0017222585464087105,-1.3887023746708184e-06,0.0031361038056311086,0.0017202379070454983,0.005255796642112486,0.009158695119502605,0.10853452021301417,0.017626899414060607,0.004420313396028145,0.1229636643851753,-0.08967858558160352,-0.5596264790763336,0.0020671223929361235,1.0,0.7205012040647463,0.003272476814682566,0.0035299799512445496,0.031583328445392515,0.03148130127538334,0.012485200129766765,-0.0010197103703434498,0.01313964398493179
Walking Step Length (in),0.10365282620436665,0.005145241925487715,-0.010248114959555599,0.06654804488448257,0.0018490717957358959,-0.00778410237898053,-0.027575073834373527,0.004261636045201004,0.05998213800931256,0.06211010479119682,0.06369396706606247,-0.0025531333342473303,0.07004155001311592,-0.0017464113603692071,0.045376450275029415,0.0032592921683144583,0.0003113693503301874,0.0009171060256951645,0.00336415625861712,-0.009120529435766252,0.0009433181901356336,2.4747035527526734e-05,-0.0017245491538316446,0.003011369866067016,0.004292707089749944,0.009110509750473719,0.09561908830622279,0.017935143133702217,0.00337563064948485,0.10313592785410693,-0.041874599309960674,-0.44972649249906615,0.006131771902637802,0.7205012040647463,1.0,0.0010687411986102658,-0.0005056150549970571,0.02295423547145901,0.024370353699338463,0.015731787178303987,-0.003252109329410893,0.006167698494745047
upload_byte_count,-0.004889815239952786,0.0012768749784590053,-0.002497038245851307,-0.0030696870387948716,0.00020247776110288924,-0.0032102646037810547,-0.0007956435610152305,0.0015507981972212178,0.013790364154357214,0.013071273304680043,0.01278641349447141,-0.0008305883420184392,-0.004019551937754171,-0.004267444002644192,-0.007411224549277588,-0.003136314087233794,-0.0008497051880577432,0.00675477401866004,0.003469903251353806,-0.0022256113291384506,0.0023563646003971934,0.00035793963893025104,-0.0016995909279012653,-0.004539942771624254,-0.00042644450570166294,-0.0020407604309919747,-0.012621022965389464,0.0008432845748281477,0.0005888155748028557,-0.007849250298029527,-0.0051405454686397805,-0.008532398910138333,-0.0017582182490968666,0.003272476814682566,0.0010687411986102658,1.0,0.40034303130935983,0.01252152618470462,0.007780214863128353,-0.02929858197255777,-0.012351756948500249,0.0008570406494613975
screen_on,-0.005856058586119242,0.0025293741733416726,-0.002973093341479204,-0.01332018518102806,-0.005929755168263525,0.0003325088513914855,0.0011453096763872053,-0.006889632655810092,0.0075548890310694235,0.005488553763097451,0.004218269174622354,-0.0071887738792034694,-0.001683248353902361,0.005145920874052076,-0.001447948869976791,-0.007687024630360576,0.010097104661606114,0.003049971865240253,0.010112202789596908,-0.005735228632922135,0.00103505871476628,-0.0029840762649842143,-0.0010560642237774532,-0.00586121452058039,0.002856266359670735,-0.009292304886115474,-0.014234659274314384,-0.0007163275370449059,-0.001989743247450605,-0.012431051171531834,-9.179710246864163e-05,-0.008405367659930814,0.0016272866719504323,0.0035299799512445496,-0.0005056150549970571,0.40034303130935983,1.0,0.014824369745521098,0.009095565857720497,-0.035192651312855476,-0.007555911016153263,0.005717119036911399
temperature,0.12712823992809832,0.00023940223758378226,0.0011986248868458371,0.06853814450853196,0.007929325315455215,0.022626382299335262,5.768623196600738e-05,0.0220585438673519,0.0996479811429132,0.09781739900721372,0.10224080087910546,-0.006352668270436039,0.04399258238339291,0.013993352853527978,0.34977728220261245,0.0017786228752317346,-0.0034839035302642748,0.00845852092642242,0.0008939878562940075,0.0005743494287938995,0.0004624284135541139,-0.003990371969453518,0.008291371310045455,0.006492195061838157,-0.00550393549569504,-0.006026527519044057,0.07553617140710897,-8.718615580965111e-05,-0.003142879761981836,0.07167922484519176,-0.0014879512383076333,0.02075466305756304,0.0023021615919070534,0.031583328445392515,0.02295423547145901,0.01252152618470462,0.014824369745521098,1.0,0.9687467475448663,-0.09931402035111192,0.16905662088044396,0.19818923508246614
feels_like,0.09704619895623673,-0.0013788395492457864,0.0016694478513923157,0.049648161351293185,0.00822840944183259,0.013336417382156041,0.00019820800510080098,0.021362886009554372,0.07480754877901032,0.07377263927553504,0.07695185547848289,-0.00238050175132431,0.03550804428715511,0.016374702710184666,0.31616462483546565,0.001411023784466905,-0.0038619190276832083,0.008976887558617119,0.0008573653924370294,0.002032861101925412,0.00032672186427862954,-0.004749261822435411,0.008225643977637094,0.006473704550025268,-0.0043148078612891,-0.0060040355113098855,0.062304895608694226,0.0005626450490710012,-0.004736630141473608,0.05942803785128426,0.00022773128383684832,0.024467845645676247,0.00202661600423663,0.03148130127538334,0.024370353699338463,0.007780214863128353,0.009095565857720497,0.9687467475448663,1.0,0.10608771576077586,0.18731249929739158,-0.00551748347183221
humidity,-0.11499381218646416,-0.013336058845217871,-0.0009179310029006515,-0.06341304218635035,-0.0024342795352932474,-0.04487566198091424,0.0004122978268614561,-0.0018325374443982788,-0.09859434257109595,-0.09736585166765754,-0.10284871148388035,0.014874354635678199,-0.0286761761381546,0.0064306974916210355,-0.10339814177128641,-0.00017666522142236585,-0.004719200445312754,0.0026249202323946844,-0.0028080107000253243,0.004681722372003553,0.0027827432529357638,-0.005801164792492748,-0.005976344808945077,9.986204978754513e-06,0.006546512390304441,0.003385740327996438,-0.04580507404411962,-0.0007463725899503789,-0.003667308765741265,-0.04034788894826825,0.0050409442119432,0.007107581855395858,-7.069320265580152e-05,0.012485200129766765,0.015731787178303987,-0.02929858197255777,-0.035192651312855476,-0.09931402035111192,0.10608771576077586,1.0,0.27119903460391637,-0.3812010011810638
rain,-0.04081951825261956,-0.00444566845865524,-0.00489728800845351,-0.026520780601390865,0.004317750544173069,-0.006842272771571184,8.9766031055072e-05,0.004597965565433331,-0.050037959373976156,-0.05201982041396039,-0.05214151157502275,-0.0001075266622209374,-0.010529941306721908,0.013362381779023868,0.00540036456977942,-0.0019437538405266796,-0.0015351261842937729,0.008510278485851223,0.00335308948141744,0.0010292835480101698,0.0017647322760317012,0.0008238655834780283,-0.005354532169348778,0.002667787258685176,0.0030641726735559896,-0.002588919775430212,-0.0058999635675681,-0.0017312204404062032,0.005607197047907316,-0.0027610892650573125,-0.004031062381523588,2.097381912305633e-05,0.002557894871135438,-0.0010197103703434498,-0.003252109329410893,-0.012351756948500249,-0.007555911016153263,0.16905662088044396,0.18731249929739158,0.27119903460391637,1.0,0.18845127326575406
wind_speed,0.09902594682985667,-0.002025193305516151,-0.003419918039537692,0.06270110637115342,-0.0038539178343773074,0.024382183445550928,-0.002341236575533097,0.01083241174570081,0.0860074032719336,0.0814178365679,0.08538360199209262,-0.013447592587561513,0.030971376640656793,-0.0039118904668836545,0.13406469422989045,0.005519087084546559,-0.004076420215118804,-0.00020418786011216505,-0.0015696193430783567,-0.003187673882865489,0.0036546101409946383,-0.0010020002013612437,-0.004421565617207632,0.0021050470082265276,-0.002272423739489273,0.0029162015220194275,0.0463624458854497,-0.003202677006490908,0.006176525989075268,0.04535309491020432,-0.0055532419561854125,-0.01688081534123712,0.00015485893053642893,0.01313964398493179,0.006167698494745047,0.0008570406494613975,0.005717119036911399,0.19818923508246614,-0.00551748347183221,-0.3812010011810638,0.18845127326575406,1.0
