,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (count),Apple Stand Time (min),Blood Oxygen Saturation (%),Environmental Audio Exposure (dBASPL),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Physical Effort (kcal/hr·kg),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (count/min),Six-Minute Walking Test Distance (m),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Stair Speed: Down (ft/s),Stair Speed: Up (ft/s),Step Count (count),Time in Daylight (min),VO2 Max (ml/(kg·min)),Walking + Running Distance (mi),Walking Asymmetry Percentage (%),Walking Double Support Percentage (%),Walking Heart Rate Average (count/min),Walking Speed (mi/hr),Walking Step Length (in),upload_byte_count,screen_on,temperature,feels_like,humidity,rain,wind_speed
Heart Rate [Avg] (count/min),0.46466488075133033,0.0015802326578838065,-0.0042185903933127595,0.27038277638451524,-0.0047506867710089325,0.03370136059221188,0.01735429852619666,0.007810170643621594,0.9394560665970881,0.9444037990717279,1.0,-0.07522238947552493,0.06875265163763541,0.012535301138450113,0.25214762400963336,4.4005679959818034e-05,-0.007882451304028851,0.005916817138833157,-0.005421012569181074,0.005907607732253636,0.0008691734394101083,-0.005617077344693541,0.0038159555518526736,0.006522240659746762,-0.0075058098886695394,0.0049117766442777116,0.3079504328740936,-0.0057657216332319145,-0.0011319748886199662,0.293125401360167,-0.0036576248834517067,-0.03533251313998197,-0.0015276800399043461,0.0733713968599793,0.06369396706606247,0.01278641349447141,0.004218269174622354,0.10224080087910546,0.07695185547848289,-0.10284871148388035,-0.05214151157502275,0.08538360199209262
Heart Rate Variability (ms),-0.004395086591226276,-0.00655971724907467,0.00146311955395944,0.004591249651215436,0.0036484430968072076,-0.012426202503466209,0.0007072251133664477,-0.0015872402729267374,-0.07315595477858389,-0.07305726467546853,-0.07522238947552493,1.0,0.0014214228125707495,-0.009742204407944021,-0.00937203154517617,-0.011068143951633629,-0.001116914435073921,0.0036306507611446634,0.0028669123626847343,0.0036434073440696625,0.005248296498387484,0.005388585302907173,-0.0013065884024853968,-0.0007970060347523456,0.0068756155563462484,0.0026075557101340185,0.0007746875101800913,0.006908326900983355,0.0028484477226608284,0.0015242919012483456,0.0028718337160130985,0.003966810068056158,-0.0018969767925871902,-0.0020009853249338557,-0.0025531333342473303,-0.0008305883420184392,-0.0071887738792034694,-0.006352668270436039,-0.00238050175132431,0.014874354635678199,-0.0001075266622209374,-0.013447592587561513
Physical Effort (kcal/hr·kg),0.24551549347160415,-0.006581749284446013,0.010436344809138553,0.15655893872324644,0.003145109858290597,0.011448351371589704,0.05795624458263135,0.008587430828614634,0.0665176173097578,0.06576431216376993,0.06875265163763541,0.0014214228125707495,1.0,0.0012197136088910397,0.11097424232475077,0.0014908046102277295,-0.0007533415888256153,-0.0030874551696643184,-0.005047406310494758,0.005044189162796141,0.003253903400441951,-0.006524193895301701,-0.003777068431696061,0.0045909319921822915,0.0052464869763880215,0.012501817189083867,0.20809517576079276,0.02197045369982792,-0.004680080088579247,0.22677098165154372,-0.011426512762426849,-0.04273070181342187,0.004601799650431869,0.10943522650812443,0.07004155001311592,-0.004019551937754171,-0.001683248353902361,0.04399258238339291,0.03550804428715511,-0.0286761761381546,-0.010529941306721908,0.030971376640656793
Respiratory Rate (count/min),0.0022292502937264823,-0.0028625454504129233,-0.0005955313036404919,-0.011857509463686402,-0.0011181808660287462,0.006500913845492566,-0.0009743764687517839,0.0013603419887793845,0.013706745821737955,0.013372997544438858,0.012535301138450113,-0.009742204407944021,0.0012197136088910397,1.0,-0.007078011975900185,0.000315445967154704,0.0030155053257719536,-0.004280170850398088,-0.0024581775364746613,-0.005060775994809508,-0.004979457966064032,0.0014396337191059138,0.0061575333697293485,0.003971910201009882,-0.005817089070133082,-0.003144442765969981,0.0005970721620000155,0.0023831163741827926,0.0030787786129782588,-0.000525593101245426,0.0030386773553824587,-0.008746222950041791,0.0014575685300361341,0.002718949815731198,-0.0017464113603692071,-0.004267444002644192,0.005145920874052076,0.013993352853527978,0.016374702710184666,0.0064306974916210355,0.013362381779023868,-0.0039118904668836545
Resting Energy (kcal),0.40121182804728095,-0.001969136061678982,0.0067180330582195845,0.17993356221590528,0.007967816491614996,0.05390443235557696,0.006743976710813839,0.009344436595554432,0.24013732444694072,0.2479097280952032,0.25214762400963336,-0.00937203154517617,0.11097424232475077,-0.007078011975900185,1.0,-0.0032059474122854165,-0.0078497929018607,0.005252339549484234,0.0016573365777856652,0.0016986114290886214,0.006666899341651764,-0.005756569126519865,0.0022516350489698972,0.0015650069666268622,-0.005147362305092567,-0.0043223754880587955,0.19611093080940753,0.00791375343028997,0.002620307748237814,0.19385142351326076,-0.0008244121249234173,0.019612262156497588,0.0007813035482385013,0.05741417110792424,0.045376450275029415,-0.007411224549277588,-0.001447948869976791,0.34977728220261245,0.31616462483546565,-0.10339814177128641,0.00540036456977942,0.13406469422989045
Resting Heart Rate (count/min),0.00398974796302065,-0.003547712277974481,6.954962176129656e-05,0.0007537942383524056,0.010690389608961574,-0.0020112905959360277,-0.0029076863673188234,-0.004851796552443749,-0.0019632550480554734,-0.001716115710226261,4.4005679959818034e-05,-0.011068143951633629,0.0014908046102277295,0.000315445967154704,-0.0032059474122854165,1.0,0.005072400801229316,0.006237604325529431,-0.0113012518013995,-0.01139644041249639,0.013233089902359935,0.004708441026113868,-0.025086782938753712,0.025114146117001065,0.005770268178732676,-0.003232340021620587,-0.004524313496397324,0.008453917999247952,0.00900077576426159,-0.0005491532407424123,-0.0017179927854004229,-0.0070720419396526355,0.036187861910610145,0.0033974217400103927,0.0032592921683144583,-0.003136314087233794,-0.007687024630360576,0.0017786228752317346,0.001411023784466905,-0.00017666522142236585,-0.0019437538405266796,0.005519087084546559
Six-Minute Walking Test Distance (m),-0.00428812185361316,0.0037054252713021266,-0.0076841542195862705,-0.0054506293927978604,0.001940898887889467,-0.0006090438229113982,0.0009799180814903513,-0.004973846437053887,-0.006504334999487724,-0.0064623351786055536,-0.007882451304028851,-0.001116914435073921,-0.0007533415888256153,0.0030155053257719536,-0.0078497929018607,0.005072400801229316,1.0,-0.00025400513097116644,0.003727652744199978,0.0043282947746809955,-0.007419220325274594,-0.004476937514246246,0.0009101823283030942,-0.001680051728498534,0.0018215815647401588,-0.0015528468610276323,-0.004786161373087056,-0.001645627675243696,-0.0039589772518437,-0.00578729999413975,0.00690135468738382,0.005909838510346573,0.008759872600420267,-0.0010915375658635089,0.0003113693503301874,-0.0008497051880577432,0.010097104661606114,-0.0034839035302642748,-0.0038619190276832083,-0.004719200445312754,-0.0015351261842937729,-0.004076420215118804
Sleep Analysis [Total] (hr),0.010311876523887492,-0.009537903242658857,-0.006194488081059062,0.012913315456559056,-0.003684918165212566,-0.00026186453998417375,-0.003281921911222751,-0.003701746514984988,0.0035997000044796774,0.0074112104238361195,0.005916817138833157,0.0036306507611446634,-0.0030874551696643184,-0.004280170850398088,0.005252339549484234,0.006237604325529431,-0.00025400513097116644,1.0,-0.09003409670153782,-0.00023933687095745247,0.19405807796287255,0.12953696901918463,0.3496515225998829,-0.016442926845191875,0.009247355220928356,-0.0005479938105046891,0.01218587619034066,0.004575853884408884,0.0046157755206933946,0.01202346926642552,0.003350194748013105,0.002811238633290284,0.022656112371374885,0.00498022712892312,0.0009171060256951645,0.00675477401866004,0.003049971865240253,0.00845852092642242,0.008976887558617119,0.0026249202323946844,0.008510278485851223,-0.00020418786011216505
Sleep Analysis [Asleep] (hr),-0.005208391383989656,-0.0011229317275929928,-0.0001929024147336672,-0.004215556993445695,-0.003213529998090117,-0.00657765921303156,-0.0056254475928999405,0.00908743891929376,-0.005071504030672201,-0.004570622389385818,-0.005421012569181074,0.0028669123626847343,-0.005047406310494758,-0.0024581775364746613,0.0016573365777856652,-0.0113012518013995,0.003727652744199978,-0.09003409670153782,1.0,0.003923508324019127,-0.10216078919859947,-0.09344573818900187,-0.19777919137050307,0.007923923354277945,0.0015173018760924353,0.008806971367656565,-0.0020245236199958275,2.7411843043975008e-05,0.001956595017315629,-0.006416516589642316,-0.003310603092933986,0.0009711833233446255,0.0036080636127969485,0.004053071414644873,0.00336415625861712,0.003469903251353806,0.010112202789596908,0.0008939878562940075,0.0008573653924370294,-0.0028080107000253243,0.00335308948141744,-0.0015696193430783567
Sleep Analysis [In Bed] (hr),0.009361472848039868,0.002372054163758972,-0.0018944046540489395,0.004945668527829615,0.0023485993106976857,0.006363840366756425,0.007786860734193424,0.004150909557040897,0.005156937288360411,0.0062616696893812345,0.005907607732253636,0.0036434073440696625,0.005044189162796141,-0.005060775994809508,0.0016986114290886214,-0.01139644041249639,0.0043282947746809955,-0.00023933687095745247,0.003923508324019127,1.0,-0.0013805680964379277,0.009951919829357007,-0.0006739759382492031,0.0035661376937437543,0.0023423651653643306,0.0012967872817008443,0.008180405816910664,-0.006037041298032604,-0.004364260026737852,0.01021902644357918,0.0014952276524777624,0.004334711451212156,0.0034026011926206593,-0.010937390524394972,-0.009120529435766252,-0.0022256113291384506,-0.005735228632922135,0.0005743494287938995,0.002032861101925412,0.004681722372003553,0.0010292835480101698,-0.003187673882865489
Sleep Analysis [Core] (hr),0.0032518811340800733,-0.003051863690004471,-0.0063406979656656344,0.0024094284781979256,0.006960562934609573,-0.0013108658826255805,-0.001308466519544954,-0.006923898482316986,0.0011690504751727504,-0.0013005219865825097,0.0008691734394101083,0.005248296498387484,0.003253903400441951,-0.004979457966064032,0.006666899341651764,0.013233089902359935,-0.007419220325274594,0.19405807796287255,-0.10216078919859947,-0.0013805680964379277,1.0,0.051164176136298894,0.1699929170382171,0.011578416243828103,-0.002371001921766984,-0.005443207303218999,0.0013614238931272755,-0.0018093242787536716,0.0010271115871242028,0.004041709329890138,-0.004217812720234528,0.0029006361978099206,0.021431176212003886,0.0017222585464087105,0.0009433181901356336,0.0023563646003971934,0.00103505871476628,0.0004624284135541139,0.00032672186427862954,0.0027827432529357638,0.0017647322760317012,0.0036546101409946383
Sleep Analysis [Deep] (hr),-0.0020190135608176207,-0.003471598328446535,-0.0033447965220569807,-0.0026217939952961748,0.00033679466493137885,0.00042992541961685873,-0.0023510489697291235,0.0022949971213843436,-0.004927691601916606,-0.005522229210142286,-0.005617077344693541,0.005388585302907173,-0.006524193895301701,0.0014396337191059138,-0.005756569126519865,0.004708441026113868,-0.004476937514246246,0.12953696901918463,-0.09344573818900187,0.009951919829357007,0.051164176136298894,1.0,0.20438802645512502,-0.06056836892100256,0.009990987859427005,-0.004746592182056511,0.00047036620681348057,0.003445838281472873,0.0009500466738753172,-0.0015946794091145965,0.002493936166215276,0.0005900893198736453,-0.009966577183322237,-1.3887023746708184e-06,2.4747035527526734e-05,0.00035793963893025104,-0.0029840762649842143,-0.003990371969453518,-0.004749261822435411,-0.005801164792492748,0.0008238655834780283,-0.0010020002013612437
Sleep Analysis [REM] (hr),0.0042905866680134986,-0.005295860787198082,0.0005212160647653579,0.007824911741238031,-0.000919127253016684,-0.0021457297127478532,-0.001100043906283538,0.0028232044673541334,0.002932211463153506,0.0031748842974044502,0.0038159555518526736,-0.0013065884024853968,-0.003777068431696061,0.0061575333697293485,0.0022516350489698972,-0.025086782938753712,0.0009101823283030942,0.3496515225998829,-0.19777919137050307,-0.0006739759382492031,0.1699929170382171,0.20438802645512502,1.0,-0.0808807471384414,0.007728652409534954,-0.0010221362434981536,0.005999837190883428,0.0009335979374426245,-0.0013458474942257687,0.0032186450473080806,9.199365351937758e-05,0.003812850448051216,-0.0019480620294223875,0.0031361038056311086,-0.0017245491538316446,-0.0016995909279012653,-0.0010560642237774532,0.008291371310045455,0.008225643977637094,-0.005976344808945077,-0.005354532169348778,-0.004421565617207632
Sleep Analysis [Awake] (hr),0.005766540627854027,-0.0018173207411656923,-0.00598388464360659,0.013682350624366775,-0.008071658871577929,0.0055695107426546354,0.0027734861027948025,-0.008602541066802659,0.006263111629909079,0.00724385081027412,0.006522240659746762,-0.0007970060347523456,0.0045909319921822915,0.003971910201009882,0.0015650069666268622,0.025114146117001065,-0.001680051728498534,-0.016442926845191875,0.007923923354277945,0.0035661376937437543,0.011578416243828103,-0.06056836892100256,-0.0808807471384414,1.0,-0.004795572598020726,-0.0023157141460808,0.0008845174356166801,0.00024477958644296215,0.006448367379614074,0.0026352279593176166,0.002174639750189474,-0.0044047857153153985,-0.001604694859025753,0.0017202379070454983,0.003011369866067016,-0.004539942771624254,-0.00586121452058039,0.006492195061838157,0.006473704550025268,9.986204978754513e-06,0.002667787258685176,0.0021050470082265276
Stair Speed: Down (ft/s),-0.004340357863228751,-0.002656496188615789,0.002792585465321068,-0.005002859860763231,0.0013659947207680875,0.001349418862278911,0.00021422299770851617,-0.003086973162334426,-0.0094792382960708,-0.008769683260787324,-0.0075058098886695394,0.0068756155563462484,0.0052464869763880215,-0.005817089070133082,-0.005147362305092567,0.005770268178732676,0.0018215815647401588,0.009247355220928356,0.0015173018760924353,0.0023423651653643306,-0.002371001921766984,0.009990987859427005,0.007728652409534954,-0.004795572598020726,1.0,-0.00660976898144651,-0.0026525413958840833,-0.0013274458621975016,0.0031563058441716994,-0.0027610158988087444,0.004147651133730719,-0.0005560147047863395,0.004641679728682693,0.005255796642112486,0.004292707089749944,-0.00042644450570166294,0.002856266359670735,-0.00550393549569504,-0.0043148078612891,0.006546512390304441,0.0030641726735559896,-0.002272423739489273
Stair Speed: Up (ft/s),-0.004001917572179658,-0.005059534909991232,0.004942928142269025,-0.00817070383647265,-0.0029607689746579268,-9.86376129780078e-05,-0.020164523585364514,0.003066902683596024,0.002985919384580122,0.0026733544956272014,0.0049117766442777116,0.0026075557101340185,0.012501817189083867,-0.003144442765969981,-0.0043223754880587955,-0.003232340021620587,-0.0015528468610276323,-0.0005479938105046891,0.008806971367656565,0.0012967872817008443,-0.005443207303218999,-0.004746592182056511,-0.0010221362434981536,-0.0023157141460808,-0.00660976898144651,1.0,-0.00014425161052246686,0.0031376858333376826,0.0003031657340397666,0.008119089763936221,-0.0013716029891663525,-0.008628907510286454,0.0004134901484173546,0.009158695119502605,0.009110509750473719,-0.0020407604309919747,-0.009292304886115474,-0.006026527519044057,-0.0060040355113098855,0.003385740327996438,-0.002588919775430212,0.0029162015220194275
