,Date/Time,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (count),Apple Stand Time (min),Blood Oxygen Saturation (%),Environmental Audio Exposure (dBASPL),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Physical Effort (kcal/hr·kg),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (count/min),Six-Minute Walking Test Distance (m),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Stair Speed: Down (ft/s),Stair Speed: Up (ft/s),Step Count (count),Time in Daylight (min),VO2 Max (ml/(kg·min)),Walking + Running Distance (mi),Walking Asymmetry Percentage (%),Walking Double Support Percentage (%),Walking Heart Rate Average (count/min),Walking Speed (mi/hr),Walking Step Length (in),upload_byte_count,screen_on,temperature,feels_like,humidity,rain,wind_speed
count,49887,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0,49887.0
mean,2025-11-03 08:03:10.150941184,0.4269153335775037,1.0038256821340121,1.0083725146136915,0.4792753859679303,98.12804906833696,63.752165314652025,0.6050577918311839,66.74755193252781,89.12762900323042,89.77584332952058,89.44706353366149,37.782097783995944,3.1784075057276286,15.366605540364132,1.2197805544063438,76.9207533717243,499.79988907865334,6.288381376969517,0.5268372612811599,-2.098244565469855e-12,3.9670118152821385,0.4554366673528105,1.33915164198983,0.2834555070928505,1.205283733343976,0.9974475069843611,29.96464444591031,0.844039528020335,31.67247786377345,0.01300376793845079,0.516489106339637,29.231688594600897,116.49207169277294,2.7317541310684903,26.355954014371775,864366.7823881974,0.06254134343616573,9.571059093551426,6.601829634975043,66.34637380479884,0.0982620722833604,10.905757612203582
min,2025-10-17 00:00:00,-9.98212111167214e-10,0.0430000001924215,0.999999999000093,0.19999999900706,92.0000000000744,40.469999999605,0.0100879615163827,1.10936682963992,52.0000000009445,53.8181115602469,52.7898512430986,7.82000000058812,0.99999999901175,7.999999999762729,0.106680520937374,66.4811117592003,498.99999999923,2.39023553528803,-6.16457847940855e-10,-9.9995229913337e-10,1.7289367075874002e-10,-3.33840029769369e-10,0.0039195521602811,0.0041949216102528,0.672398811500309,0.664999999997019,0.0169999990075481,0.0120000006905128,31.5524180928841,-9.95684220994522e-10,-9.97561408614052e-10,23.1000000009461,93.6964619512064,1.30000000085146,11.0743325371917,0.0,0.0,-0.1,-4.5,26.0,0.0,0.3
25%,2025-10-25 16:16:30,0.1998427784778555,0.9926737041002015,1.00000000024646,0.46979315581613246,98.05771622858606,63.115348089955006,0.5942170074700135,65.66082607213966,87.03291231566689,87.66431567326009,87.9290586423916,37.42042942676055,3.079330725056405,15.21386108335575,1.159535797626935,76.7238216495776,499.786405718808,6.25295217929026,0.501904273603942,-5.039907448083521e-10,3.906085902525485,0.444900902173907,1.3279551849872049,0.278557857716239,1.1918367328254602,0.984687273325486,27.89619577921765,0.8349835053213905,31.67029184273865,0.0117281154652745,0.2971113367468535,29.1384179218707,115.88464699453601,2.72103018319689,26.137597213126952,5711.5,0.0,6.4,3.2,54.6333333333333,0.0,5.98333333333333
50%,2025-11-03 07:53:00,0.352625382457338,1.00373691817164,1.00385932816373,0.477658804209272,98.1284903818219,63.7469958596996,0.605070382680698,66.7553861453139,88.8490409350187,89.4892673572776,89.1874794224831,37.7854245872986,3.17949258013772,15.3650131917521,1.20835665978071,76.9217736040032,499.799870752492,6.28847411796175,0.526797319337664,-3.08120040096828e-13,3.9670567608801504,0.455409729939005,1.33916951104718,0.283468995548495,1.20534737864482,0.997552776683411,29.7146884014829,0.844064124547521,31.6724915240266,0.0128576330276543,0.506519792223245,29.2328226916385,116.492959535398,2.73170564763053,26.355258614314,75833.0,0.0,9.73,6.45833333333333,65.9,0.0,9.92
75%,2025-11-11 23:44:30,0.482758909415598,1.014884021279805,1.014430050826955,0.485183082348006,98.1988138542381,64.3766450841054,0.6158765473814215,67.8308446499914,90.58402404814291,91.22322534074365,90.3754468723316,38.1462261503992,3.281107423254105,15.51847887740015,1.273344727094665,77.1158573701875,499.81333223152,6.324106965243285,0.551837320811607,5.00846853574594e-10,4.027856149648841,0.46591389352324153,1.350416583778315,0.288310880148847,1.21896938223172,1.01020746040779,31.4124365607459,0.853254926861441,31.6746959180251,0.0138989172452001,0.713717192907598,29.32676651960875,117.09117161429401,2.74238235256193,26.5742286239958,286926.0,0.0,12.745,10.3833333333333,78.0,0.0,14.90916666666665
max,2025-11-20 15:36:00,8.92999999945758,1.96000000059578,1.99999999900583,1.00000000099962,100.000000000974,91.8699999999063,2.67163136003159,91.1400000007609,167.999999999138,171.000000000466,166.560938599158,105.951265249319,9.60000000002433,22.0583443442824,2.45784569001691,89.5293505630963,499.999999999892,8.83595473827149,2.73039098337992,9.99981526054582e-10,6.12883660132194,0.987193082511562,2.63008538774193,1.30654832220064,2.6899999997029,1.65294714010596,116.105478231148,1.0000000009935,31.7522935881622,0.0677576573453039,49.7947658976057,36.8000000008054,149.000000000765,4.03885046740039,42.5199999995549,170048688.0,1.0,20.6,20.0,100.0,9.3,28.2
std,,0.5110967077618715,0.01992353922065436,0.012138344735046542,0.12272352707508545,0.1853747882152359,1.7020336634466047,0.03724642978822681,2.024548848779639,7.5396194011556155,7.979976163926212,7.565385447164194,1.6520339307013416,0.3506567039469993,0.3354980008956597,0.10381812752935078,0.3238818329704043,0.020132941595140088,0.0663513199502776,0.04282308371834342,5.779979241111432e-10,0.09654444750490147,0.01715878718209448,0.023565139903022968,0.010066291742169097,0.02438985081592975,0.021159822611559197,13.028960772790242,0.022398368306000466,0.003342443981725062,0.005878357900379977,0.3994216364725561,0.2955940998920098,0.9522607683426958,0.06312223036878083,0.5622724794065047,6841035.535286257,0.24213859476645883,4.403367584232202,5.164560798420206,15.52426529894435,0.5490759386367825,5.943998336888565
